id,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,15709511.0,Ch'ang,754.0,Spain,Male,40.0,8.0,102954.68,2.0,1.0,1.0,149238.35,0.0
1,15592761.0,Genovese,579.0,France,Female,28.0,1.0,0.0,2.0,1.0,0.0,64869.32,0.0
2,15579914.0,Yeh,744.0,France,Female,56.0,5.0,0.0,1.0,1.0,0.0,158816.03,1.0
3,15669611.0,Nwachinemelu,697.0,France,Male,29.0,2.0,0.0,2.0,1.0,0.0,55775.72,0.0
4,15761775.0,Hs?eh,628.0,France,Female,22.0,9.0,0.0,2.0,1.0,0.0,49653.39,0.0
5,15621409.0,Chidubem,850.0,France,Male,29.0,2.0,0.0,1.0,0.0,0.0,93835.64,0.0
6,15633043.0,Nwora,588.0,France,Male,23.0,2.0,0.0,2.0,1.0,1.0,130189.72,0.0
7,15672056.0,P'eng,594.0,Spain,Male,39.0,8.0,0.0,2.0,1.0,0.0,155879.57,0.0
8,15700212.0,Fitch,652.0,France,Female,29.0,4.0,152926.4,1.0,1.0,1.0,119882.7,0.0
9,15777907.0,Teng,683.0,Germany,Male,36.0,2.0,123047.86,2.0,1.0,0.0,107221.04,0.0
10,15664270.0,Genovese,586.0,Germany,Male,33.0,3.0,104822.45,2.0,1.0,0.0,141756.32,0.0
11,15730360.0,Yobanna,562.0,France,Female,38.0,9.0,0.0,2.0,1.0,0.0,127630.88,0.0
12,15751177.0,Kuo,559.0,Germany,Female,55.0,1.0,140418.76,1.0,1.0,1.0,151871.84,1.0
13,15763613.0,Milanesi,751.0,France,Male,46.0,3.0,0.0,2.0,1.0,1.0,187800.63,0.0
14,15628992.0,Olisanugo,596.0,Spain,Female,31.0,5.0,0.0,2.0,0.0,1.0,91347.76,0.0
15,15634896.0,Ts'ui,599.0,Spain,Male,39.0,4.0,0.0,2.0,1.0,0.0,152883.95,0.0
16,15627848.0,Ts'ai,743.0,Germany,Male,32.0,8.0,121729.42,2.0,0.0,1.0,80587.27,0.0
17,15589323.0,Chiazagomekpere,607.0,France,Female,56.0,9.0,112372.96,1.0,1.0,1.0,162858.28,0.0
18,15654025.0,Ugoji,712.0,France,Male,28.0,3.0,0.0,2.0,0.0,1.0,182726.22,0.0
19,15677317.0,Phelan,632.0,France,Male,26.0,9.0,0.0,2.0,1.0,0.0,137961.41,0.0
20,15772381.0,Shih,678.0,France,Male,32.0,6.0,96763.89,1.0,1.0,1.0,125961.48,0.0
21,15571843.0,Tuan,570.0,Spain,Female,35.0,6.0,0.0,2.0,1.0,0.0,183542.08,0.0
22,15592229.0,Nwachinemelu,669.0,France,Male,50.0,9.0,0.0,1.0,1.0,1.0,113950.51,1.0
23,15632345.0,Tung,644.0,France,Male,38.0,1.0,96473.58,1.0,1.0,0.0,79866.73,0.0
24,15702293.0,Macleod,730.0,France,Female,43.0,9.0,0.0,1.0,1.0,0.0,92816.86,1.0
25,15791777.0,Ch'ang,747.0,Germany,Male,27.0,1.0,123971.16,1.0,1.0,0.0,100816.29,1.0
26,15638003.0,Walker,705.0,Spain,Female,38.0,7.0,0.0,2.0,1.0,0.0,71830.1,0.0
27,15748327.0,Chukwujamuike,796.0,France,Female,40.0,6.0,0.0,2.0,1.0,1.0,180318.6,0.0
28,15615797.0,Young,696.0,Spain,Male,42.0,6.0,0.0,2.0,0.0,1.0,137763.99,0.0
29,15716347.0,Hs?,472.0,France,Male,47.0,1.0,0.0,2.0,1.0,0.0,131736.23,0.0
30,15785519.0,Tuan,594.0,France,Female,52.0,0.0,0.0,2.0,0.0,0.0,125427.42,1.0
31,15731519.0,Kudryashova,685.0,France,Male,28.0,4.0,0.0,1.0,1.0,0.0,176692.65,0.0
32,15642991.0,Chigbogu,547.0,France,Female,38.0,5.0,132730.17,1.0,1.0,1.0,62980.96,0.0
33,15573851.0,Nnamutaezinwa,561.0,Spain,Female,32.0,7.0,113348.5,1.0,1.0,1.0,62688.55,0.0
34,15683560.0,Iadanza,633.0,Spain,Male,30.0,8.0,0.0,2.0,1.0,0.0,60778.11,0.0
35,15670562.0,Ritchie,656.0,France,Male,33.0,9.0,0.0,2.0,1.0,0.0,75664.56,0.0
36,15658946.0,Nnamutaezinwa,696.0,Spain,Female,32.0,5.0,0.0,2.0,1.0,0.0,93717.55,0.0
